ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
01,Aguascalientes,001,Aguascalientes,0135,El Cedazo (Cedazo de San Antonio),"102°18'38.758"" W","21°41'54.793"" N",1860,322,155,167,19,11,8,303,144,159,293,141,152,249,117,132,221,101,120,197,93,104,18,7,11,36,20,16,49,28,21,28,16,12,24,8,16,46,21,25,77,21,9,12,107.74,101,207,14,2.53,288,146,142,32,9,23,283,139,144,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        1,        0,10,5,3,1,3,2,5,36,16,14,1,9,1,10,3,276,5,2,3,0,0,0,4,3,1,17,8,9,4,2,2,2,1,1,17,6,11,21,10,11,8,2,6,31,15,16,5,0,5,99,47,52,46,21,25,8.22,8.28,8.17,156,52,104,92,64,28,150,51,99,6,1,5,55,267,242,0,0,0,25,0,1,0,104,124,21,317,2,0,3,69,24,45,322,104,218,105,69,105,69,69,69,16,20,322,4.67,1.16,69,0,21,48,2,8,59,66,3,64,59,5,53,16,65,2,67,2,62,0,67,20,0,58,55,26,42,26,27,57,63,10,1,67,22,15,7,4,2,2,43,1,2
01,Aguascalientes,001,Aguascalientes,0138,Centro de Arriba (El Taray),"102°29'55.369"" W","21°43'51.627"" N",1871,1172,622,550,77,33,44,1095,589,506,1061,571,490,888,477,411,827,447,380,758,413,345,61,30,31,146,82,64,157,82,75,61,30,31,69,34,35,124,74,50,313,174,82,92,88.42,345,696,131,2.86,913,486,427,234,122,112,1012,544,468,30,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,65,30,21,8,25,13,11,181,47,129,12,26,1,5,24,915,17,8,9,0,0,0,14,5,9,42,19,23,16,10,6,2,1,1,28,18,10,29,18,11,122,62,60,312,172,140,19,7,12,235,132,103,82,43,39,7.07,7.07,7.06,496,173,323,390,303,87,490,172,318,6,1,5,398,774,135,6,0,1,623,0,4,5,275,518,95,1095,44,0,33,316,98,218,1172,309,863,414,316,409,311,316,316,89,9,1172,3.71,0.94,309,7,118,198,2,22,292,316,0,314,309,2,307,72,313,0,312,4,311,0,312,148,1,298,270,142,159,52,130,241,304,51,50,260,141,19,11,10,2,39,163,1,4
01,Aguascalientes,001,Aguascalientes,0139,Cieneguilla (La Lumbrera),"102°27'12.732"" W","21°43'56.195"" N",1825,997,495,502,38,19,19,959,476,483,922,461,461,792,398,394,741,374,367,678,339,339,53,21,32,114,57,57,133,62,71,51,24,27,63,35,28,116,55,61,253,150,74,76,101.41,256,626,115,2.87,903,442,461,85,47,38,896,450,446,20,9,11,1,0,1,0,0,0,1,0,1,1,0,1,0,        1,        1,        0,88,53,33,12,14,20,22,170,69,64,11,23,10,55,23,734,19,6,13,1,1,0,6,0,6,41,25,16,15,7,8,2,1,1,65,29,36,39,14,25,145,72,73,225,117,108,17,6,11,208,105,103,83,45,38,6.85,7.05,6.65,486,166,320,306,232,74,480,164,316,6,2,4,320,677,384,10,3,1,282,0,0,0,250,465,77,927,26,0,44,252,64,188,997,231,766,333,252,332,251,252,252,59,22,997,3.96,0.96,244,8,72,180,1,15,236,247,5,245,239,7,221,15,250,0,251,1,243,1,250,112,1,225,218,107,126,52,56,200,242,41,31,220,95,29,13,9,6,22,143,3,3
01,Aguascalientes,001,Aguascalientes,0141,Cobos,"102°14'02.290"" W","21°49'30.440"" N",1939,11,5,6,1,1,0,10,4,6,9,3,6,8,3,5,8,3,5,8,3,5,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,2,1,0,1,120,3,7,1,1.67,10,5,5,1,0,1,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,3,2,1,2,0,2,9.25,8,10,7,2,5,1,1,0,7,2,5,0,0,0,1,10,9,0,0,0,1,0,0,0,2,6,0,11,0,0,0,3,1,2,11,2,9,36,3,36,3,3,3,17,16,11,3.67,1.1,2,1,0,3,0,0,3,3,0,3,0,0,3,1,3,0,3,0,3,0,3,0,0,3,2,2,2,1,1,3,3,1,0,3,2,1,0,0,0,0,1,0,1
01,Aguascalientes,001,Aguascalientes,0144,El Colorado (El Soyatal),"102°10'05.610"" W","21°54'15.960"" N",2023,468,251,217,28,12,16,440,239,201,423,231,192,351,187,164,330,173,157,297,156,141,30,19,11,59,33,26,58,36,22,21,14,7,33,17,16,70,36,34,138,39,19,20,86.45,138,297,33,2.33,450,241,209,18,10,8,416,228,188,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,10,7,0,1,3,1,1,46,25,12,2,5,2,13,4,411,10,2,8,0,0,0,1,1,0,21,11,10,15,6,9,1,0,1,8,6,2,6,5,1,48,20,28,65,26,39,9,5,4,117,73,44,70,36,34,8.18,8.33,8.01,220,73,147,129,112,17,217,70,147,3,3,0,109,359,132,4,0,0,226,0,0,0,121,206,24,453,6,0,8,116,14,102,468,43,425,144,116,144,116,116,116,15,13,468,4.03,1.06,115,1,38,78,6,11,99,115,1,111,109,5,111,47,113,1,113,3,109,1,113,20,0,112,102,51,87,42,18,91,112,32,11,103,67,30,7,2,1,10,42,1,2
01,Aguascalientes,001,Aguascalientes,0146,El Conejal,"102°12'29.201"" W","21°54'59.969"" N",1988,1081,538,543,65,36,29,1016,502,514,958,472,486,809,395,414,745,360,385,670,320,350,77,41,36,130,66,64,153,89,64,64,35,29,75,40,35,141,64,77,277,94,46,48,100.93,336,679,66,2.47,1037,515,522,43,22,21,955,472,483,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,60,52,19,24,18,29,21,117,61,63,16,28,24,27,24,889,38,16,22,0,0,0,3,2,1,47,28,19,27,17,10,3,2,1,19,7,12,24,7,17,104,50,54,160,72,88,42,21,21,231,112,119,141,71,70,8.09,8.37,7.84,637,287,350,172,108,64,635,287,348,2,0,2,222,859,340,31,0,0,490,2,1,2,269,495,45,1008,58,0,15,239,154,85,1068,714,354,280,241,259,220,238,239,16,23,1068,4.47,1.15,238,0,59,179,6,30,202,238,0,236,231,2,227,36,237,0,237,1,235,0,237,57,0,232,217,101,178,41,82,186,236,57,12,221,84,56,14,5,0,13,137,0,4
01,Aguascalientes,001,Aguascalientes,0157,Cotorina de Abajo,"102°15'59.459"" W","21°45'23.789"" N",1888,55,28,27,4,4,0,51,24,27,48,22,26,38,18,20,35,18,17,35,18,17,5,2,3,8,4,4,9,2,7,3,0,3,0,0,0,4,4,0,13,5,2,3,96.43,20,31,4,3.39,43,23,20,11,4,7,48,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,3,1,2,0,0,0,0,5,0,2,0,2,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,2,1,1,4,3,1,8,3,5,2,0,2,8,3,5,11,8,3,8.34,8.78,7.88,24,9,15,14,9,5,23,8,15,1,1,0,9,46,37,0,0,0,8,0,1,0,8,22,8,50,0,0,5,15,3,12,55,11,44,19,15,7,3,15,15,1,3,55,3.67,0.89,14,1,4,11,0,1,14,15,0,14,7,1,11,4,12,3,15,0,14,0,13,6,0,13,12,6,9,1,4,13,14,5,0,12,4,4,0,1,0,3,9,0,1
01,Aguascalientes,001,Aguascalientes,0162,Coyotes,"102°20'28.732"" W","21°52'09.453"" N",1854,318,157,161,16,9,7,302,148,154,285,141,144,238,112,126,214,102,112,201,97,104,22,10,12,42,26,16,51,24,27,24,10,14,13,5,8,40,18,22,74,29,12,17,102.55,104,194,20,2.62,289,142,147,27,14,13,280,137,143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        0,        1,18,11,7,2,1,6,3,31,11,16,3,7,3,5,2,268,8,3,5,0,0,0,1,0,1,12,4,8,14,7,7,0,0,0,12,6,6,14,6,8,21,11,10,24,11,13,3,1,2,81,40,41,60,29,31,8.75,8.74,8.76,139,48,91,99,64,35,139,48,91,0,0,0,70,248,186,3,0,0,58,0,1,0,84,123,31,287,12,0,19,74,15,59,318,67,251,89,74,89,74,74,74,14,1,318,4.3,1.15,73,1,23,51,2,11,61,74,0,73,73,1,50,18,73,1,74,0,73,0,74,17,0,66,67,37,51,14,44,53,70,21,15,68,18,19,4,0,1,2,49,0,2
01,Aguascalientes,001,Aguascalientes,0170,Cuauhtémoc (Las Palomas),"102°21'04.181"" W","21°45'22.882"" N",1826,468,229,239,25,11,14,443,218,225,429,212,217,375,185,190,346,169,177,303,153,150,23,11,12,45,22,23,59,29,30,29,16,13,43,16,27,60,31,29,121,51,27,24,104.37,122,308,38,2.54,414,204,210,47,24,23,424,211,213,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        0,        1,25,14,12,3,5,5,3,85,33,58,6,21,8,15,8,352,11,5,6,6,3,3,5,0,5,16,8,8,14,8,6,1,0,1,9,4,5,19,8,11,22,11,11,86,38,48,16,7,9,129,62,67,62,36,26,8.08,8.39,7.79,235,75,160,140,110,30,224,73,151,11,2,9,101,367,244,3,5,0,133,0,0,0,150,194,31,449,13,0,6,123,27,96,458,92,366,179,124,178,123,122,123,30,25,458,3.72,0.98,116,6,44,78,6,13,103,122,0,115,105,7,103,16,120,0,120,2,114,0,120,28,0,115,109,72,87,29,26,88,118,33,3,114,51,20,7,11,3,8,62,1,2
01,Aguascalientes,001,Aguascalientes,0171,Los Cuervos (Los Ojos de Agua),"102°09'38.871"" W","21°43'51.204"" N",1974,419,220,199,23,11,12,396,209,187,383,203,180,322,170,152,300,157,143,277,144,133,18,8,10,56,31,25,58,33,25,22,13,9,23,13,10,55,35,20,106,67,36,31,90.45,119,246,54,2.65,335,164,171,75,52,23,354,187,167,29,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        1,        0,33,20,9,4,3,7,3,40,19,18,1,6,1,10,7,343,11,6,5,4,4,0,0,0,0,17,9,8,11,10,1,0,0,0,30,12,18,35,16,19,46,26,20,41,19,22,15,5,10,83,45,38,72,41,31,7.47,7.73,7.18,163,54,109,151,114,37,160,54,106,3,0,3,129,290,115,9,3,0,169,0,5,0,115,181,26,417,1,0,1,101,17,84,419,61,358,141,101,140,100,101,101,37,3,419,4.15,1.09,98,3,19,82,1,7,93,100,1,100,93,1,94,19,99,1,100,1,99,0,100,22,1,98,87,62,71,32,20,70,98,22,16,82,41,8,0,2,2,13,56,2,2
01,Aguascalientes,001,Aguascalientes,0172,San José [Granja],"102°22'57.860"" W","21°51'55.072"" N",1907,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0176,La Chiripa,"102°09'59.710"" W","21°45'58.848"" N",1998,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0183,Los Dolores,"102°14'43.560"" W","21°50'25.385"" N",1972,11,4,7,1,0,1,10,4,6,10,4,6,8,4,4,7,4,3,6,3,3,0,0,0,2,0,2,2,0,2,1,0,1,1,1,0,2,1,1,4,0,0,0,175,4,7,0,2.25,11,4,7,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,2,1,1,0,1,8,7.5,8.67,6,2,4,2,2,0,6,2,4,0,0,0,5,6,3,0,0,0,3,0,0,0,2,6,0,11,0,0,0,3,0,3,11,0,11,3,3,3,3,3,3,0,0,11,3.67,1.1,3,0,1,2,0,1,2,1,2,1,0,2,3,1,3,0,0,3,0,2,0,2,0,1,1,0,1,0,1,3,1,0,0,2,0,0,0,0,0,1,3,0,1
01,Aguascalientes,001,Aguascalientes,0190,El Duraznillo,"102°09'59.225"" W","21°46'56.519"" N",2003,354,176,178,31,11,20,323,165,158,311,160,151,251,131,120,232,123,109,207,106,101,22,10,12,50,24,26,59,28,31,19,8,11,25,17,8,44,20,24,91,30,14,16,101.14,122,217,15,2.91,342,167,175,7,5,2,298,160,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,16,7,4,6,2,1,0,35,14,22,1,5,0,5,2,302,7,3,4,1,1,0,4,3,1,13,10,3,3,2,1,5,1,4,25,12,13,22,10,12,35,11,24,38,19,19,20,10,10,78,46,32,33,24,9,7.27,7.98,6.47,165,62,103,85,69,16,159,60,99,6,2,4,102,252,72,2,0,0,178,0,0,0,69,150,32,334,8,0,12,82,26,56,354,103,251,111,82,110,81,82,82,28,1,354,4.32,1.17,81,1,27,55,3,6,73,82,0,82,81,0,68,14,78,0,81,1,81,0,78,30,0,76,71,34,37,30,21,66,75,3,3,74,12,7,1,1,4,8,69,1,2
01,Aguascalientes,001,Aguascalientes,0191,Los Durón,"102°08'11.446"" W","21°45'57.924"" N",1984,144,68,76,6,1,5,138,67,71,129,63,66,108,52,56,95,47,48,90,44,46,12,6,6,18,9,9,28,13,15,13,5,8,5,3,2,12,3,9,29,17,8,9,111.76,49,84,11,3.5,127,56,71,15,10,5,125,62,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,16,7,2,3,8,1,1,26,9,21,0,3,0,7,3,101,4,0,4,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0,13,9,4,8,6,2,29,10,19,11,6,5,2,0,2,25,17,8,19,7,12,6.48,6.45,6.52,68,19,49,40,33,7,67,19,48,1,0,1,33,111,34,0,0,0,77,0,0,0,39,55,14,144,0,0,0,36,7,29,144,22,122,56,36,53,33,36,36,10,10,144,4,1.07,36,0,7,29,0,3,33,36,0,36,35,0,32,3,35,0,34,2,34,0,34,12,0,36,31,17,23,12,16,26,36,3,6,29,12,5,1,2,0,4,24,0,1
01,Aguascalientes,001,Aguascalientes,0197,Paraíso [Rancho],"102°21'16.704"" W","21°53'17.440"" N",1861,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0209,La Fortuna,"102°19'45.852"" W","21°49'58.682"" N",1851,37,18,19,1,0,1,36,18,18,33,16,17,26,11,15,22,10,12,21,10,11,4,3,1,6,4,2,8,3,5,4,1,3,1,0,1,2,2,0,7,1,0,1,105.56,15,22,0,3,32,17,15,5,1,4,33,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,1,0,0,1,1,0,0,2,2,1,0,0,0,0,0,34,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3,0,3,3,1,2,7,4,3,2,2,0,5,1,4,2,2,0,5.95,7.4,4.75,15,3,12,11,8,3,15,3,12,0,0,0,9,28,27,0,0,0,1,0,0,0,7,18,1,37,0,0,0,9,2,7,37,7,30,10,9,10,9,9,9,1,0,37,4.11,1.16,8,1,5,4,0,2,7,9,0,9,0,0,1,0,9,0,9,0,9,0,9,4,0,8,7,4,4,3,2,8,9,0,0,9,1,2,0,0,0,0,8,0,1
01,Aguascalientes,001,Aguascalientes,0212,Lomas del Gachupín,"102°14'32.730"" W","21°51'23.973"" N",1970,27,14,13,1,1,0,26,13,13,24,12,12,24,12,12,23,12,11,22,12,10,2,1,1,0,0,0,1,0,1,1,0,1,1,0,1,7,5,2,9,1,1,0,92.86,4,22,1,1.83,24,13,11,3,1,2,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,5,3,2,15,8,7,10.87,10.75,11,19,8,11,5,4,1,17,7,10,2,1,1,11,16,11,4,0,0,1,0,0,0,11,12,1,25,2,0,0,6,3,3,27,11,16,7,6,6,5,6,6,0,1,27,4.5,1,6,0,0,6,0,0,6,6,0,6,6,0,4,1,6,0,6,0,6,0,6,2,0,5,6,3,4,2,1,5,6,3,3,5,4,2,2,2,0,1,2,0,1
01,Aguascalientes,001,Aguascalientes,0213,El Carmen (Gallinas Güeras) [Rancho],"102°06'21.806"" W","21°46'12.753"" N",1988,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
01,Aguascalientes,001,Aguascalientes,0216,La Gloria,"102°22'29.256"" W","21°49'19.677"" N",1842,9,5,4,0,0,0,9,5,4,9,5,4,7,3,4,6,3,3,6,3,3,0,0,0,2,2,0,2,1,1,1,0,1,0,0,0,1,1,0,2,2,1,1,80,3,4,2,4.67,9,5,4,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0,5.5,5,6,5,2,3,2,1,1,5,2,3,0,0,0,0,9,8,0,0,0,1,0,0,0,1,6,0,9,0,0,0,3,0,3,9,0,9,3,3,3,3,3,3,0,0,9,3,1.13,3,0,1,2,1,0,2,3,0,3,0,0,3,0,3,0,3,0,3,0,3,0,0,2,2,0,3,0,1,3,3,0,0,3,0,0,0,0,0,0,3,0,1
01,Aguascalientes,001,Aguascalientes,0226,Hacienda Nueva,"102°21'31.722"" W","21°54'26.315"" N",1900,575,290,285,32,15,17,543,275,268,520,264,256,432,221,211,405,203,202,370,187,183,35,15,20,76,39,37,77,50,27,27,18,9,35,16,19,76,41,35,149,49,20,29,98.28,170,373,32,2.32,478,237,241,93,50,43,501,251,250,18,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,34,20,14,3,6,5,4,32,13,23,0,6,1,3,4,507,15,8,7,1,0,1,2,1,1,26,14,12,21,9,12,0,0,0,22,10,12,22,10,12,53,23,30,66,39,27,17,7,10,123,56,67,105,58,47,8.46,8.73,8.19,249,89,160,183,132,51,242,89,153,7,0,7,212,363,303,5,0,0,52,0,4,0,144,247,41,549,11,0,15,124,17,107,575,69,506,140,124,140,124,124,124,11,5,575,4.64,1.15,123,1,30,94,3,15,106,124,0,122,115,2,91,43,123,0,121,3,119,0,121,43,0,120,111,54,74,14,64,102,117,35,22,107,46,42,14,7,2,12,70,0,3
01,Aguascalientes,001,Aguascalientes,0227,La Haciendita (La Esperanza),"102°27'05.314"" W","21°41'09.121"" N",1766,14,7,7,2,2,0,12,5,7,11,5,6,8,3,5,8,3,5,8,3,5,1,0,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,100,6,8,0,4,13,7,6,1,0,1,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,1,1,2,1,1,9.38,10.67,8.6,6,1,5,2,2,0,6,1,5,0,0,0,2,12,2,0,0,0,10,0,0,0,0,6,2,14,0,0,0,3,0,3,14,0,14,5,3,5,3,3,3,0,2,14,4.67,1.56,3,0,1,2,1,0,2,3,0,3,0,0,3,0,3,0,3,0,3,0,3,1,0,3,3,0,2,0,0,2,3,0,0,3,0,3,0,0,0,0,3,0,1
01,Aguascalientes,001,Aguascalientes,0228,La Herrada,"102°12'45.362"" W","21°54'27.546"" N",1971,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
